,ship mode,segment,state,region,category,sub-category,sales,quantity,discount,profit,unit price,profit margin,is discounted,profit per item,is profited,city tier
32,standard ,consumer,pennsylvania,east,office supplies,binders,6.86,6,70.0,-5.72,1.1433333333333333,-83.38,1,-0.95,0,1
33,standard ,consumer,pennsylvania,east,office supplies,art,15.76,2,20.0,3.55,7.88,22.53,1,1.77,1,1
34,second ,home office,texas,central,office supplies,paper,29.47,3,20.0,9.95,9.823333333333332,33.76,1,3.32,1,1
35,first ,corporate,texas,central,technology,phones,1097.54,7,20.0,123.47,156.79142857142855,11.25,1,17.64,1,3
36,first ,corporate,texas,central,furniture,furnishings,190.92,5,60.0,-147.96,38.184,-77.5,1,-29.59,0,3
37,standard ,home office,texas,central,office supplies,envelopes,113.33,9,20.0,35.42,12.592222222222222,31.25,1,3.94,1,1
38,standard ,home office,texas,central,furniture,bookcases,532.4,3,32.0,-46.98,177.46666666666667,-8.82,1,-15.66,0,1
39,standard ,home office,texas,central,furniture,chairs,212.06,3,30.0,-15.15,70.68666666666667,-7.14,1,-5.05,0,1
40,standard ,home office,texas,central,technology,phones,371.17,4,20.0,41.76,92.7925,11.25,1,10.44,1,1
41,standard ,corporate,illinois,central,technology,phones,147.17,4,20.0,16.56,36.7925,11.25,1,4.14,1,3
42,standard ,corporate,california,west,office supplies,storage,77.88,2,0.0,3.89,38.94,4.99,0,1.95,1,1
43,standard ,corporate,florida,south,office supplies,storage,95.62,2,20.0,9.56,47.81,10.0,1,4.78,1,5
44,first ,corporate,minnesota,central,technology,accessories,45.98,2,0.0,19.77,22.99,43.0,0,9.88,1,4
45,first ,corporate,minnesota,central,office supplies,binders,17.46,2,0.0,8.21,8.73,47.02,0,4.11,1,4
46,second ,consumer,michigan,central,office supplies,storage,211.96,4,0.0,8.48,52.99,4.0,0,2.12,1,2
47,standard ,consumer,delaware,east,technology,accessories,45.0,3,0.0,4.95,15.0,11.0,0,1.65,1,1
48,standard ,consumer,delaware,east,technology,phones,21.8,2,0.0,6.1,10.9,27.98,0,3.05,1,1
49,standard ,consumer,indiana,central,office supplies,binders,38.22,6,0.0,17.96,6.37,46.99,0,2.99,1,4
50,standard ,consumer,indiana,central,office supplies,labels,75.18,6,0.0,35.33,12.530000000000001,46.99,0,5.89,1,4
51,standard ,consumer,indiana,central,furniture,furnishings,6.16,2,0.0,2.96,3.08,48.05,0,1.48,1,4
52,standard ,consumer,indiana,central,furniture,chairs,89.99,1,0.0,17.1,89.99,19.0,0,17.1,1,4
53,standard ,corporate,new york,east,office supplies,fasteners,15.26,7,0.0,6.26,2.18,41.02,0,0.89,1,1
54,standard ,corporate,new york,east,technology,phones,1029.95,5,0.0,298.69,205.99,29.0,0,59.74,1,1
55,first ,consumer,new york,east,office supplies,storage,208.56,6,0.0,52.14,34.76,25.0,0,8.69,1,1
56,first ,consumer,new york,east,office supplies,paper,32.4,5,0.0,15.55,6.4799999999999995,47.99,0,3.11,1,1
57,first ,consumer,new york,east,furniture,chairs,319.41,5,10.0,7.1,63.882000000000005,2.22,1,1.42,1,1
58,first ,consumer,new york,east,office supplies,paper,14.56,2,0.0,6.99,7.28,48.01,0,3.5,1,1
59,first ,consumer,new york,east,technology,accessories,30.0,2,0.0,3.3,15.0,11.0,0,1.65,1,1
60,first ,consumer,new york,east,office supplies,binders,48.48,4,20.0,16.36,12.12,33.75,1,4.09,1,1
61,first ,consumer,new york,east,office supplies,art,1.68,1,0.0,0.84,1.68,50.0,0,0.84,0,1
62,standard ,consumer,california,west,technology,accessories,13.98,2,0.0,6.15,6.99,43.99,0,3.08,1,1
63,standard ,consumer,california,west,office supplies,binders,25.82,6,20.0,9.36,4.303333333333334,36.25,1,1.56,1,1
64,standard ,consumer,california,west,office supplies,paper,146.73,3,0.0,68.96,48.91,47.0,0,22.99,1,1
65,standard ,consumer,california,west,furniture,furnishings,79.76,4,0.0,22.33,19.94,28.0,0,5.58,1,1
66,standard ,home office,illinois,central,furniture,chairs,213.12,5,30.0,-15.22,42.624,-7.14,1,-3.04,0,1
67,standard ,corporate,arizona,west,office supplies,art,1113.02,8,20.0,111.3,139.1275,10.0,1,13.91,1,1
68,standard ,corporate,arizona,west,technology,phones,167.97,4,20.0,62.99,41.9925,37.5,1,15.75,1,1
69,first ,consumer,virginia,south,office supplies,paper,75.88,2,0.0,35.66,37.94,47.0,0,17.83,1,1
70,standard ,consumer,new york,east,office supplies,binders,4.62,1,20.0,1.73,4.62,37.45,1,1.73,1,1
71,second ,consumer,michigan,central,office supplies,paper,19.05,3,0.0,8.76,6.3500000000000005,45.98,0,2.92,1,1
72,standard ,consumer,tennessee,south,furniture,chairs,831.94,8,20.0,-114.39,103.9925,-13.75,1,-14.3,0,1
73,standard ,consumer,tennessee,south,furniture,furnishings,97.04,2,20.0,1.21,48.52,1.25,1,0.6,1,1
74,standard ,consumer,tennessee,south,office supplies,storage,72.78,1,20.0,-18.2,72.78,-25.01,1,-18.2,0,1
75,first ,corporate,texas,central,office supplies,binders,1.25,3,80.0,-1.93,0.4166666666666667,-154.4,1,-0.64,0,1
76,first ,corporate,texas,central,furniture,furnishings,9.71,3,60.0,-5.82,3.236666666666667,-59.94,1,-1.94,0,1
77,first ,corporate,texas,central,office supplies,storage,27.24,3,20.0,2.72,9.08,9.99,1,0.91,1,1
78,second ,consumer,texas,central,furniture,furnishings,19.3,5,60.0,-14.48,3.8600000000000003,-75.03,1,-2.9,0,1
79,first ,corporate,alabama,south,office supplies,appliances,208.16,1,0.0,56.2,208.16,27.0,0,56.2,1,1
80,first ,corporate,alabama,south,office supplies,binders,16.74,3,0.0,8.04,5.579999999999999,48.03,0,2.68,1,1
81,standard ,consumer,california,west,office supplies,art,14.9,5,0.0,4.17,2.98,27.99,0,0.83,1,1
82,standard ,consumer,california,west,office supplies,storage,21.39,1,0.0,6.2,21.39,28.99,0,6.2,1,1
83,standard ,corporate,north carolina,south,office supplies,envelopes,200.98,7,20.0,62.81,28.71142857142857,31.25,1,8.97,1,3
84,first ,home office,illinois,central,office supplies,storage,230.38,3,20.0,-48.95,76.79333333333334,-21.25,1,-16.32,0,1
85,second ,consumer,south carolina,south,furniture,chairs,301.96,2,0.0,33.22,150.98,11.0,0,16.61,1,1
86,standard ,consumer,minnesota,central,technology,accessories,19.99,1,0.0,6.8,19.99,34.02,0,6.8,1,1
87,standard ,consumer,minnesota,central,office supplies,labels,6.16,2,0.0,2.96,3.08,48.05,0,1.48,1,1
88,second ,home office,texas,central,office supplies,storage,158.37,7,20.0,13.86,22.624285714285715,8.75,1,1.98,1,1
89,standard ,corporate,california,west,office supplies,art,20.1,3,0.0,6.63,6.7,32.99,0,2.21,1,1
90,standard ,corporate,california,west,technology,phones,73.58,2,20.0,8.28,36.79,11.25,1,4.14,1,1
91,standard ,corporate,california,west,office supplies,paper,6.48,1,0.0,3.11,6.48,47.99,0,3.11,1,1
92,second ,consumer,minnesota,central,office supplies,paper,12.96,2,0.0,6.22,6.48,47.99,0,3.11,1,1
93,second ,consumer,minnesota,central,furniture,furnishings,53.34,3,0.0,16.54,17.78,31.01,0,5.51,1,1
94,second ,consumer,minnesota,central,office supplies,binders,32.96,2,0.0,16.15,16.48,49.0,0,8.07,1,1
95,standard ,home office,oregon,west,office supplies,binders,5.68,1,70.0,-3.79,5.68,-66.73,1,-3.79,0,1
96,second ,home office,new york,east,furniture,furnishings,96.53,7,0.0,40.54,13.790000000000001,42.0,0,5.79,1,1
97,first ,consumer,california,west,office supplies,binders,51.31,3,20.0,17.96,17.103333333333335,35.0,1,5.99,1,1
98,standard ,corporate,minnesota,central,office supplies,appliances,77.88,6,0.0,22.59,12.979999999999999,29.01,0,3.77,1,4
99,standard ,home office,illinois,central,office supplies,paper,64.62,7,20.0,22.62,9.231428571428571,35.0,1,3.23,1,1
100,standard ,home office,illinois,central,technology,accessories,95.98,3,20.0,-10.8,31.993333333333336,-11.25,1,-3.6,0,1
101,standard ,home office,illinois,central,office supplies,binders,1.79,3,80.0,-3.04,0.5966666666666667,-169.83,1,-1.01,0,1
102,second ,consumer,minnesota,central,office supplies,paper,23.92,4,0.0,11.72,5.98,49.0,0,2.93,1,1
103,standard ,consumer,colorado,west,technology,accessories,238.9,6,20.0,-26.88,39.81666666666667,-11.25,1,-4.48,0,1
104,standard ,consumer,colorado,west,furniture,furnishings,102.36,3,20.0,-3.84,34.12,-3.75,1,-1.28,0,1
105,standard ,consumer,colorado,west,office supplies,binders,36.88,3,70.0,-25.82,12.293333333333335,-70.01,1,-8.61,0,1
106,standard ,consumer,north carolina,south,technology,accessories,74.11,8,20.0,17.6,9.26375,23.75,1,2.2,1,1
107,standard ,consumer,north carolina,south,technology,phones,27.99,1,20.0,2.1,27.99,7.5,1,2.1,1,1
108,standard ,consumer,north carolina,south,office supplies,art,3.3,1,20.0,1.07,3.3,32.42,1,1.07,1,1
109,standard ,home office,illinois,central,technology,accessories,339.96,5,20.0,67.99,67.99199999999999,20.0,1,13.6,1,4
110,standard ,corporate,new york,east,furniture,furnishings,41.96,2,0.0,10.91,20.98,26.0,0,5.46,1,1
111,standard ,consumer,iowa,central,office supplies,art,75.96,2,0.0,22.79,37.98,30.0,0,11.39,1,5
112,standard ,consumer,iowa,central,office supplies,binders,27.24,6,0.0,13.35,4.54,49.01,0,2.23,1,5
113,second ,consumer,ohio,east,office supplies,fasteners,40.1,14,20.0,14.53,2.8642857142857143,36.23,1,1.04,1,1
114,second ,consumer,ohio,east,office supplies,envelopes,4.72,2,20.0,1.65,2.36,34.96,1,0.82,1,1
115,second ,consumer,ohio,east,office supplies,paper,23.98,3,20.0,7.49,7.993333333333333,31.23,1,2.5,1,1
116,second ,consumer,ohio,east,office supplies,envelopes,130.46,6,20.0,44.03,21.743333333333336,33.75,1,7.34,1,1
117,standard ,consumer,washington,west,furniture,tables,787.53,3,0.0,165.38,262.51,21.0,0,55.13,1,1
118,standard ,corporate,tennessee,south,office supplies,binders,157.79,1,70.0,-115.72,157.79,-73.34,1,-115.72,0,3
119,first ,consumer,delaware,east,furniture,furnishings,47.04,3,0.0,18.35,15.68,39.01,0,6.12,1,1
120,first ,consumer,delaware,east,office supplies,binders,30.84,4,0.0,13.88,7.71,45.01,0,3.47,1,1
121,first ,consumer,delaware,east,office supplies,storage,226.56,6,0.0,63.44,37.76,28.0,0,10.57,1,1
122,first ,consumer,delaware,east,office supplies,envelopes,115.02,9,0.0,51.76,12.78,45.0,0,5.75,1,1
123,first ,consumer,delaware,east,technology,phones,68.04,7,0.0,19.73,9.72,29.0,0,2.82,1,1
124,second ,home office,texas,central,furniture,chairs,600.56,3,30.0,-8.58,200.18666666666664,-1.43,1,-2.86,0,1
125,standard ,consumer,illinois,central,furniture,tables,617.7,6,50.0,-407.68,102.95,-66.0,1,-67.95,0,2
126,standard ,consumer,arizona,west,office supplies,binders,2.39,2,70.0,-1.83,1.195,-76.57,1,-0.92,0,1
127,standard ,consumer,arizona,west,office supplies,storage,243.99,7,20.0,30.5,34.855714285714285,12.5,1,4.36,1,1
128,second ,home office,california,west,furniture,chairs,81.42,2,20.0,-9.16,40.71,-11.25,1,-4.58,0,1
129,second ,home office,california,west,furniture,furnishings,238.56,3,0.0,26.24,79.52,11.0,0,8.75,1,1
130,first ,corporate,ohio,east,technology,phones,59.97,5,40.0,-11.99,11.994,-19.99,1,-2.4,0,1
131,first ,corporate,ohio,east,office supplies,paper,78.3,2,20.0,29.36,39.15,37.5,1,14.68,1,1
132,first ,corporate,ohio,east,office supplies,fasteners,21.46,9,20.0,6.97,2.3844444444444446,32.48,1,0.77,1,1
133,standard ,consumer,california,west,office supplies,paper,20.04,3,0.0,9.62,6.68,48.0,0,3.21,1,2
134,standard ,consumer,california,west,office supplies,paper,35.44,1,0.0,16.66,35.44,47.01,0,16.66,1,2
135,standard ,consumer,california,west,office supplies,art,11.52,4,0.0,3.46,2.88,30.03,0,0.86,1,2
136,standard ,consumer,california,west,office supplies,fasteners,4.02,2,0.0,1.97,2.01,49.0,0,0.98,1,2
137,standard ,consumer,california,west,office supplies,binders,76.18,3,20.0,26.66,25.393333333333334,35.0,1,8.89,1,2
138,standard ,consumer,california,west,office supplies,supplies,65.88,6,0.0,18.45,10.979999999999999,28.01,0,3.07,1,2
139,standard ,consumer,california,west,furniture,furnishings,43.12,14,0.0,20.7,3.0799999999999996,48.01,0,1.48,1,2
140,second ,corporate,pennsylvania,east,furniture,furnishings,82.8,2,20.0,10.35,41.4,12.5,1,5.17,1,1
141,standard ,corporate,california,west,office supplies,art,8.82,3,0.0,2.38,2.94,26.98,0,0.79,1,1
142,standard ,corporate,california,west,office supplies,envelopes,10.86,3,0.0,5.1,3.6199999999999997,46.96,0,1.7,1,1
143,standard ,corporate,california,west,office supplies,paper,143.7,3,0.0,68.98,47.9,48.0,0,22.99,1,1
144,standard ,consumer,missouri,central,office supplies,appliances,839.43,3,0.0,218.25,279.81,26.0,0,72.75,1,2
145,standard ,consumer,california,west,office supplies,storage,671.93,7,0.0,20.16,95.99,3.0,0,2.88,1,1
146,standard ,home office,ohio,east,furniture,furnishings,93.89,4,20.0,12.91,23.4725,13.75,1,3.23,1,1
147,standard ,corporate,wisconsin,central,technology,phones,384.45,11,0.0,103.8,34.949999999999996,27.0,0,9.44,1,1
148,standard ,corporate,wisconsin,central,technology,phones,149.97,3,0.0,6.0,49.99,4.0,0,2.0,1,1
149,standard ,corporate,wisconsin,central,furniture,chairs,1951.84,8,0.0,585.55,243.98,30.0,0,73.19,1,1
150,standard ,corporate,wisconsin,central,office supplies,binders,171.55,5,0.0,80.63,34.31,47.0,0,16.13,1,1
151,first ,home office,arizona,west,office supplies,appliances,157.92,5,20.0,17.77,31.583999999999996,11.25,1,3.55,1,2
152,first ,home office,arizona,west,technology,phones,203.18,2,20.0,15.24,101.59,7.5,1,7.62,1,2
153,first ,corporate,california,west,office supplies,paper,58.38,7,0.0,26.27,8.34,45.0,0,3.75,1,1
154,first ,corporate,california,west,office supplies,paper,105.52,4,0.0,48.54,26.38,46.0,0,12.13,1,1
155,first ,corporate,california,west,office supplies,storage,80.88,6,0.0,21.03,13.479999999999999,26.0,0,3.51,1,1
156,standard ,home office,washington,west,office supplies,art,6.63,3,0.0,1.79,2.21,27.0,0,0.6,1,1
157,second ,consumer,washington,west,furniture,chairs,457.57,2,20.0,51.48,228.785,11.25,1,25.74,1,1
158,standard ,consumer,oklahoma,central,office supplies,labels,14.62,2,0.0,6.87,7.31,46.99,0,3.44,1,3
159,standard ,consumer,oklahoma,central,technology,phones,944.93,7,0.0,236.23,134.98999999999998,25.0,0,33.75,1,3
160,first ,consumer,california,west,office supplies,paper,5.98,1,0.0,2.69,5.98,44.98,0,2.69,1,1
161,second ,consumer,pennsylvania,east,technology,accessories,54.38,2,20.0,1.36,27.19,2.5,1,0.68,1,1
162,standard ,consumer,new mexico,west,office supplies,envelopes,28.4,5,0.0,13.35,5.68,47.01,0,2.67,1,4
163,standard ,consumer,washington,west,office supplies,binders,27.68,2,20.0,9.69,13.84,35.01,1,4.84,1,1
164,standard ,consumer,texas,central,office supplies,art,9.94,3,20.0,2.73,3.313333333333333,27.46,1,0.91,1,1
165,standard ,consumer,texas,central,technology,machines,8159.95,8,40.0,-1359.99,1019.99375,-16.67,1,-170.0,0,1
166,standard ,consumer,texas,central,office supplies,storage,275.93,3,20.0,-58.63,91.97666666666667,-21.25,1,-19.54,0,1
167,standard ,consumer,texas,central,furniture,chairs,1740.06,9,30.0,-24.86,193.34,-1.43,1,-2.76,0,1
168,standard ,consumer,texas,central,office supplies,art,32.06,6,20.0,6.81,5.343333333333334,21.24,1,1.14,1,1
169,standard ,consumer,texas,central,office supplies,appliances,177.98,5,80.0,-453.85,35.596,-255.0,1,-90.77,0,1
170,standard ,consumer,texas,central,technology,phones,143.98,3,20.0,9.0,47.99333333333333,6.25,1,3.0,1,1
171,standard ,consumer,california,west,office supplies,paper,20.94,3,0.0,9.84,6.98,46.99,0,3.28,1,1
172,standard ,consumer,california,west,office supplies,paper,110.96,2,0.0,53.26,55.48,48.0,0,26.63,1,1
173,standard ,consumer,california,west,furniture,chairs,340.14,7,20.0,21.26,48.59142857142857,6.25,1,3.04,1,1
174,standard ,corporate,illinois,central,office supplies,appliances,52.45,2,80.0,-131.12,26.225,-249.99,1,-65.56,0,1
175,standard ,corporate,illinois,central,office supplies,labels,20.16,4,20.0,6.55,5.04,32.49,1,1.64,1,1
176,second ,consumer,texas,central,office supplies,appliances,97.26,4,80.0,-243.16,24.315,-250.01,1,-60.79,0,1
177,second ,consumer,ohio,east,furniture,chairs,396.8,7,30.0,-11.34,56.68571428571429,-2.86,1,-1.62,0,1
178,second ,consumer,ohio,east,office supplies,supplies,15.88,5,20.0,-3.77,3.176,-23.74,1,-0.75,0,1
179,standard ,home office,new york,east,office supplies,art,3.28,1,0.0,1.41,3.28,42.99,0,1.41,1,1
180,second ,corporate,illinois,central,office supplies,storage,24.82,2,20.0,1.86,12.41,7.49,1,0.93,1,1
181,second ,corporate,illinois,central,technology,accessories,408.74,7,20.0,76.64,58.39142857142857,18.75,1,10.95,1,1
182,second ,home office,louisiana,south,technology,phones,503.96,4,0.0,131.03,125.99,26.0,0,32.76,1,2
183,second ,home office,louisiana,south,technology,phones,149.95,5,0.0,41.99,29.99,28.0,0,8.4,1,2
184,second ,home office,louisiana,south,technology,accessories,29.0,2,0.0,7.25,14.5,25.0,0,3.62,1,2
185,standard ,consumer,connecticut,east,office supplies,binders,7.16,2,0.0,3.44,3.58,48.04,0,1.72,1,1
186,standard ,home office,california,west,technology,accessories,176.8,8,0.0,22.98,22.1,13.0,0,2.87,1,1
187,standard ,corporate,texas,central,office supplies,storage,37.22,3,20.0,3.72,12.406666666666666,9.99,1,1.24,1,3
188,standard ,corporate,texas,central,office supplies,paper,20.02,3,20.0,6.26,6.673333333333333,31.27,1,2.09,1,3
189,first ,home office,new york,east,furniture,bookcases,899.14,4,20.0,112.39,224.785,12.5,1,28.1,1,1
190,first ,home office,new york,east,technology,phones,71.76,6,0.0,20.09,11.96,28.0,0,3.35,1,1
191,first ,home office,new york,east,office supplies,paper,51.84,8,0.0,24.88,6.48,47.99,0,3.11,1,1
192,first ,home office,new york,east,furniture,bookcases,626.35,3,20.0,46.98,208.78333333333333,7.5,1,15.66,1,1
193,first ,home office,new york,east,office supplies,art,19.9,5,0.0,6.57,3.9799999999999995,33.02,0,1.31,1,1
194,standard ,corporate,california,west,office supplies,envelopes,14.28,7,0.0,6.71,2.04,46.99,0,0.96,1,2
195,standard ,consumer,ohio,east,office supplies,art,7.41,2,20.0,1.2,3.705,16.19,1,0.6,1,4
196,standard ,consumer,ohio,east,office supplies,art,6.05,3,20.0,1.59,2.0166666666666666,26.28,1,0.53,1,4
197,standard ,home office,new jersey,east,office supplies,storage,46.26,3,0.0,12.03,15.42,26.01,0,4.01,1,4
198,standard ,corporate,pennsylvania,east,office supplies,binders,2.95,2,70.0,-2.26,1.475,-76.61,1,-1.13,0,1
199,standard ,corporate,pennsylvania,east,office supplies,paper,16.06,3,20.0,5.82,5.353333333333333,36.24,1,1.94,1,1
200,standard ,consumer,ohio,east,office supplies,paper,21.74,3,20.0,6.8,7.246666666666666,31.28,1,2.27,1,2
201,first ,consumer,colorado,west,furniture,tables,218.75,2,50.0,-161.88,109.375,-74.0,1,-80.94,0,1
202,first ,consumer,colorado,west,office supplies,appliances,2.6,1,20.0,0.29,2.6,11.15,1,0.29,0,1
203,second ,consumer,texas,central,office supplies,appliances,66.28,2,80.0,-178.97,33.14,-270.02,1,-89.48,0,1
204,standard ,corporate,tennessee,south,furniture,furnishings,35.17,7,20.0,9.67,5.024285714285715,27.5,1,1.38,1,1
205,standard ,consumer,california,west,technology,phones,444.77,4,20.0,44.48,111.1925,10.0,1,11.12,1,4
206,standard ,consumer,michigan,central,office supplies,storage,83.92,4,0.0,5.87,20.98,6.99,0,1.47,1,4
207,standard ,consumer,michigan,central,technology,phones,131.98,2,0.0,35.63,65.99,27.0,0,17.82,1,4
208,standard ,consumer,michigan,central,office supplies,binders,15.92,4,0.0,7.48,3.98,46.98,0,1.87,1,4
209,standard ,consumer,michigan,central,office supplies,fasteners,52.29,9,0.0,16.21,5.81,31.0,0,1.8,1,4
210,standard ,consumer,michigan,central,office supplies,storage,91.99,1,0.0,3.68,91.99,4.0,0,3.68,1,4
211,second ,corporate,texas,central,technology,accessories,20.8,2,20.0,6.5,10.4,31.25,1,3.25,1,1
212,standard ,corporate,ohio,east,office supplies,labels,23.68,2,20.0,8.88,11.84,37.5,1,4.44,1,2
213,standard ,corporate,ohio,east,furniture,bookcases,452.45,5,50.0,-244.32,90.49,-54.0,1,-48.86,0,2
214,standard ,corporate,ohio,east,technology,phones,62.98,3,40.0,-14.7,20.993333333333332,-23.34,1,-4.9,0,2
215,standard ,corporate,ohio,east,technology,machines,1188.0,9,70.0,-950.4,132.0,-80.0,1,-105.6,0,2
216,standard ,corporate,ohio,east,technology,accessories,89.58,2,20.0,4.48,44.79,5.0,1,2.24,1,2
217,standard ,consumer,california,west,office supplies,storage,93.06,6,0.0,26.06,15.51,28.0,0,4.34,1,1
218,standard ,consumer,california,west,technology,phones,302.38,3,20.0,22.68,100.79333333333334,7.5,1,7.56,1,1
219,first ,consumer,ohio,east,office supplies,fasteners,5.58,2,20.0,1.81,2.79,32.44,1,0.91,1,2
220,first ,consumer,ohio,east,office supplies,paper,22.7,6,20.0,8.23,3.783333333333333,36.26,1,1.37,1,2
221,first ,consumer,ohio,east,office supplies,binders,19.78,4,70.0,-13.84,4.945,-69.97,1,-3.46,0,2
222,first ,consumer,ohio,east,furniture,furnishings,72.7,4,20.0,19.08,18.175,26.24,1,4.77,1,2
223,first ,consumer,ohio,east,technology,machines,479.99,4,70.0,-383.99,119.9975,-80.0,1,-96.0,0,2
224,first ,consumer,ohio,east,office supplies,art,27.17,2,20.0,2.72,13.585,10.01,1,1.36,1,2
225,standard ,corporate,michigan,central,office supplies,art,2.2,1,0.0,0.97,2.2,44.09,0,0.97,0,1
226,standard ,corporate,michigan,central,furniture,tables,622.45,5,0.0,136.94,124.49000000000001,22.0,0,27.39,1,1
227,standard ,corporate,michigan,central,office supplies,storage,21.98,1,0.0,0.22,21.98,1.0,0,0.22,0,1
228,standard ,consumer,tennessee,south,furniture,chairs,161.57,2,20.0,-28.27,80.785,-17.5,1,-14.13,0,1
229,standard ,consumer,tennessee,south,furniture,chairs,389.7,8,20.0,43.84,48.7125,11.25,1,5.48,1,1
230,standard ,corporate,north carolina,south,office supplies,binders,18.65,7,70.0,-12.43,2.664285714285714,-66.65,1,-1.78,0,1
231,standard ,home office,florida,south,furniture,tables,233.86,2,45.0,-102.05,116.93,-43.64,1,-51.02,0,1
232,standard ,home office,florida,south,furniture,tables,620.61,3,45.0,-248.25,206.87,-40.0,1,-82.75,0,1
233,standard ,home office,florida,south,office supplies,binders,5.33,2,70.0,-3.55,2.665,-66.6,1,-1.77,0,1
234,standard ,home office,florida,south,furniture,furnishings,258.07,3,20.0,0.0,86.02333333333333,0.0,1,0.0,0,1
235,standard ,home office,florida,south,technology,accessories,617.98,3,20.0,-7.72,205.99333333333334,-1.25,1,-2.57,0,1
236,standard ,corporate,california,west,office supplies,paper,10.56,2,0.0,4.75,5.28,44.98,0,2.38,1,4
237,second ,consumer,illinois,central,office supplies,paper,25.92,5,20.0,9.4,5.184,36.27,1,1.88,1,1
238,second ,consumer,illinois,central,furniture,furnishings,419.68,5,60.0,-356.73,83.936,-85.0,1,-71.35,0,1
239,second ,consumer,illinois,central,furniture,furnishings,11.69,3,60.0,-4.68,3.8966666666666665,-40.03,1,-1.56,0,1
240,second ,consumer,illinois,central,technology,phones,31.98,2,20.0,11.19,15.99,34.99,1,5.59,1,1
241,second ,consumer,illinois,central,furniture,tables,177.22,5,50.0,-120.51,35.444,-68.0,1,-24.1,0,1
